Date,Code,CompanyName,Sector17Code,Sector17CodeName,Sector33Code,Sector33CodeName,ScaleCategory,MarketCode,MarketCodeName,Sector17CodeNameEnglish,Sector33CodeNameEnglish,MarketCodeNameEnglish
2023-01-30,34940,マリオン,17,不動産,8050,不動産業,-,112,スタンダード,REAL ESTATE,Real Estate,Standard
2023-01-30,34950,香陵住販,17,不動産,8050,不動産業,-,112,スタンダード,REAL ESTATE,Real Estate,Standard
2023-01-30,34960,アズーム,17,不動産,8050,不動産業,-,113,グロース,REAL ESTATE,Real Estate,Growth
2023-01-30,34970,ＬｅＴｅｃｈ,17,不動産,8050,不動産業,-,113,グロース,REAL ESTATE,Real Estate,Growth
2023-01-30,34980,霞ヶ関キャピタル,17,不動産,8050,不動産業,-,113,グロース,REAL ESTATE,Real Estate,Growth
2023-01-30,35010,住江織物,4,素材・化学,3100,繊維製品,TOPIX Small 2,111,プライム,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Prime
2023-01-30,35120,日本フエルト,4,素材・化学,3100,繊維製品,TOPIX Small 2,112,スタンダード,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Standard
2023-01-30,35130,イチカワ,4,素材・化学,3100,繊維製品,TOPIX Small 2,112,スタンダード,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Standard
2023-01-30,35210,エコナックホールディングス,10,情報通信・サービスその他,9050,サービス業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Services,Prime
2023-01-30,35240,日東製網,4,素材・化学,3100,繊維製品,TOPIX Small 2,112,スタンダード,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Standard
2023-01-30,35260,芦森工業,6,自動車・輸送機,3700,輸送用機器,TOPIX Small 2,111,プライム,AUTOMOBILES & TRANSPORTATION EQUIPMEN,Transportation Equipment,Prime
2023-01-30,35290,アツギ,4,素材・化学,3100,繊維製品,TOPIX Small 2,111,プライム,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Prime
2023-01-30,35360,アクサスホールディングス,14,小売,6100,小売業,-,112,スタンダード,RETAIL TRADE,Retail Trade,Standard
2023-01-30,35370,昭栄薬品,13,商社・卸売,6050,卸売業,-,112,スタンダード,COMMERCIAL & WHOLESALE TRADE,Wholesale Trade,Standard
2023-01-30,35380,ウイルプラスホールディングス,14,小売,6100,小売業,TOPIX Small 2,111,プライム,RETAIL TRADE,Retail Trade,Prime
2023-01-30,35390,ＪＭホールディングス,14,小売,6100,小売業,TOPIX Small 1,111,プライム,RETAIL TRADE,Retail Trade,Prime
2023-01-30,35400,歯愛メディカル,13,商社・卸売,6050,卸売業,-,112,スタンダード,COMMERCIAL & WHOLESALE TRADE,Wholesale Trade,Standard
2023-01-30,35410,農業総合研究所,13,商社・卸売,6050,卸売業,-,113,グロース,COMMERCIAL & WHOLESALE TRADE,Wholesale Trade,Growth
2023-01-30,35420,ベガコーポレーション,14,小売,6100,小売業,-,113,グロース,RETAIL TRADE,Retail Trade,Growth
2023-01-30,35430,コメダホールディングス,13,商社・卸売,6050,卸売業,TOPIX Small 1,111,プライム,COMMERCIAL & WHOLESALE TRADE,Wholesale Trade,Prime
2023-01-30,35440,サツドラホールディングス,14,小売,6100,小売業,TOPIX Small 2,111,プライム,RETAIL TRADE,Retail Trade,Prime
2023-01-30,35460,アレンザホールディングス,14,小売,6100,小売業,TOPIX Small 2,111,プライム,RETAIL TRADE,Retail Trade,Prime
2023-01-30,35470,串カツ田中ホールディングス,14,小売,6100,小売業,TOPIX Small 2,112,スタンダード,RETAIL TRADE,Retail Trade,Standard
2023-01-30,35480,バロックジャパンリミテッド,14,小売,6100,小売業,TOPIX Small 2,111,プライム,RETAIL TRADE,Retail Trade,Prime
2023-01-30,35490,クスリのアオキホールディングス,14,小売,6100,小売業,TOPIX Mid400,111,プライム,RETAIL TRADE,Retail Trade,Prime
2023-01-30,35500,スタジオアタオ,14,小売,6100,小売業,-,113,グロース,RETAIL TRADE,Retail Trade,Growth
2023-01-30,35510,ダイニック,4,素材・化学,3100,繊維製品,TOPIX Small 2,112,スタンダード,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Standard
2023-01-30,35530,共和レザー,4,素材・化学,3200,化学,TOPIX Small 2,112,スタンダード,RAW MATERIALS & CHEMICALS,Chemicals,Standard
2023-01-30,35560,リネットジャパングループ,14,小売,6100,小売業,-,113,グロース,RETAIL TRADE,Retail Trade,Growth
2023-01-30,35570,ユナイテッド＆コレクティブ,14,小売,6100,小売業,-,113,グロース,RETAIL TRADE,Retail Trade,Growth
2023-01-30,35580,ロコンド,14,小売,6100,小売業,-,113,グロース,RETAIL TRADE,Retail Trade,Growth
2023-01-30,35590,ピーバンドットコム,13,商社・卸売,6050,卸売業,TOPIX Small 2,111,プライム,COMMERCIAL & WHOLESALE TRADE,Wholesale Trade,Prime
2023-01-30,35600,ほぼ日,14,小売,6100,小売業,-,112,スタンダード,RETAIL TRADE,Retail Trade,Standard
2023-01-30,35610,力の源ホールディングス,14,小売,6100,小売業,TOPIX Small 2,111,プライム,RETAIL TRADE,Retail Trade,Prime
2023-01-30,35620,Ｎｏ．１,13,商社・卸売,6050,卸売業,-,112,スタンダード,COMMERCIAL & WHOLESALE TRADE,Wholesale Trade,Standard
2023-01-30,35630,ＦＯＯＤ＆ＬＩＦＥＣＯＭＰＡＮＩＥＳ,14,小売,6100,小売業,TOPIX Mid400,111,プライム,RETAIL TRADE,Retail Trade,Prime
2023-01-30,35650,アセンテック,13,商社・卸売,6050,卸売業,TOPIX Small 2,111,プライム,COMMERCIAL & WHOLESALE TRADE,Wholesale Trade,Prime
2023-01-30,35660,ユニフォームネクスト,14,小売,6100,小売業,-,113,グロース,RETAIL TRADE,Retail Trade,Growth
2023-01-30,35690,セーレン,4,素材・化学,3100,繊維製品,TOPIX Small 1,111,プライム,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Prime
2023-01-30,35710,ソトー,4,素材・化学,3100,繊維製品,TOPIX Small 2,112,スタンダード,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Standard
2023-01-30,35770,東海染工,4,素材・化学,3100,繊維製品,TOPIX Small 2,112,スタンダード,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Standard
2023-01-30,35800,小松マテーレ,4,素材・化学,3100,繊維製品,TOPIX Small 2,111,プライム,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Prime
2023-01-30,35830,オーベクス,4,素材・化学,3100,繊維製品,-,112,スタンダード,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Standard
2023-01-30,35910,ワコールホールディングス,4,素材・化学,3100,繊維製品,TOPIX Mid400,111,プライム,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Prime
2023-01-30,35930,ホギメディカル,4,素材・化学,3100,繊維製品,TOPIX Small 1,111,プライム,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Prime
2023-01-30,35970,自重堂,4,素材・化学,3100,繊維製品,-,112,スタンダード,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Standard
2023-01-30,35980,山喜,4,素材・化学,3100,繊維製品,-,112,スタンダード,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Standard
2023-01-30,36000,フジックス,4,素材・化学,3100,繊維製品,-,112,スタンダード,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Standard
2023-01-30,36040,川本産業,4,素材・化学,3100,繊維製品,-,112,スタンダード,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Standard
2023-01-30,36070,クラウディアホールディングス,4,素材・化学,3100,繊維製品,TOPIX Small 2,112,スタンダード,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Standard
2023-01-30,36080,ＴＳＩホールディングス,4,素材・化学,3100,繊維製品,TOPIX Small 2,111,プライム,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Prime
2023-01-30,36110,マツオカコーポレーション,4,素材・化学,3100,繊維製品,TOPIX Small 2,111,プライム,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Prime
2023-01-30,36120,ワールド,4,素材・化学,3100,繊維製品,TOPIX Small 1,111,プライム,RAW MATERIALS & CHEMICALS,Textiles & Apparels,Prime
2023-01-30,36220,ネットイヤーグループ,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,36230,ビリングシステム,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,36240,アクセルマーク,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,36250,テックファームホールディングス,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,36260,ＴＩＳ,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Mid400,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36270,ＪＮＳホールディングス,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36280,データホライゾン,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,36320,グリー,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 1,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36330,ＧＭＯペパボ,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36340,ソケッツ,10,情報通信・サービスその他,5250,情報･通信業,-,112,スタンダード,"IT & SERVICES, OTHERS ",Information & Communication,Standard
2023-01-30,36350,コーエーテクモホールディングス,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Mid400,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36360,三菱総合研究所,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 1,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36390,ボルテージ,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,112,スタンダード,"IT & SERVICES, OTHERS ",Information & Communication,Standard
2023-01-30,36400,電算,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,112,スタンダード,"IT & SERVICES, OTHERS ",Information & Communication,Standard
2023-01-30,36410,パピレス,10,情報通信・サービスその他,5250,情報･通信業,-,112,スタンダード,"IT & SERVICES, OTHERS ",Information & Communication,Standard
2023-01-30,36450,メディカルネット,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,36460,駅探,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,36470,ジー・スリーホールディングス,10,情報通信・サービスその他,5250,情報･通信業,-,112,スタンダード,"IT & SERVICES, OTHERS ",Information & Communication,Standard
2023-01-30,36480,ＡＧＳ,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,112,スタンダード,"IT & SERVICES, OTHERS ",Information & Communication,Standard
2023-01-30,36490,ファインデックス,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36520,ディジタルメディアプロフェッショナル,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,36530,モルフォ,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,36550,ブレインパッド,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36560,ＫＬａｂ,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36570,ポールトゥウィンホールディングス,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 1,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36590,ネクソン,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Mid400,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36600,アイスタイル,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 1,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36610,エムアップホールディングス,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 1,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36620,エイチーム,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36630,セルシス,10,情報通信・サービスその他,5250,情報･通信業,-,112,スタンダード,"IT & SERVICES, OTHERS ",Information & Communication,Standard
2023-01-30,36640,モブキャストホールディングス,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,36650,エニグモ,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36660,テクノスジャパン,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36670,ｅｎｉｓｈ,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,112,スタンダード,"IT & SERVICES, OTHERS ",Information & Communication,Standard
2023-01-30,36680,コロプラ,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 1,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36700,協立情報通信,10,情報通信・サービスその他,5250,情報･通信業,-,112,スタンダード,"IT & SERVICES, OTHERS ",Information & Communication,Standard
2023-01-30,36710,ソフトマックス,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,36720,オルトプラス,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,112,スタンダード,"IT & SERVICES, OTHERS ",Information & Communication,Standard
2023-01-30,36730,ブロードリーフ,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 1,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36740,オークファン,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,36750,クロス・マーケティンググループ,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36760,デジタルハーツホールディングス,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36770,システム情報,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36780,メディアドゥ,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36790,じげん,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36800,ホットリンク,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,36810,ブイキューブ,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 1,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36820,エンカレッジ・テクノロジ,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,112,スタンダード,"IT & SERVICES, OTHERS ",Information & Communication,Standard
2023-01-30,36830,サイバーリンクス,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36860,ディー・エル・イー,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,112,スタンダード,"IT & SERVICES, OTHERS ",Information & Communication,Standard
2023-01-30,36870,フィックスターズ,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36880,ＣＡＲＴＡＨＯＬＤＩＮＧＳ,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36900,イルグルム,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,36910,デジタルプラス,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,36920,ＦＦＲＩセキュリティ,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,36940,オプティム,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36950,ＧＭＯリサーチ,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,36960,セレス,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Small 2,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36970,ＳＨＩＦＴ,10,情報通信・サービスその他,5250,情報･通信業,TOPIX Mid400,111,プライム,"IT & SERVICES, OTHERS ",Information & Communication,Prime
2023-01-30,36980,ＣＲＩ・ミドルウェア,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,37080,特種東海製紙,4,素材・化学,3150,パルプ・紙,TOPIX Small 1,111,プライム,RAW MATERIALS & CHEMICALS,Pulp & Paper,Prime
2023-01-30,37100,ジョルダン,10,情報通信・サービスその他,5250,情報･通信業,-,112,スタンダード,"IT & SERVICES, OTHERS ",Information & Communication,Standard
2023-01-30,37120,情報企画,10,情報通信・サービスその他,5250,情報･通信業,-,112,スタンダード,"IT & SERVICES, OTHERS ",Information & Communication,Standard
2023-01-30,37190,ジェクシード,10,情報通信・サービスその他,5250,情報･通信業,-,112,スタンダード,"IT & SERVICES, OTHERS ",Information & Communication,Standard
2023-01-30,37230,日本ファルコム,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
2023-01-30,37260,フォーシーズＨＤ,14,小売,6100,小売業,-,112,スタンダード,RETAIL TRADE,Retail Trade,Standard
2023-01-30,37270,アプリックス,10,情報通信・サービスその他,5250,情報･通信業,-,113,グロース,"IT & SERVICES, OTHERS ",Information & Communication,Growth
